gss.code,age.group,sex,relationship,year,hrr
E06000005,75_79,M,S,2011,0.867
E06000005,80_84,M,S,2011,0.964
E06000005,85&,M,S,2011,0.968
E06000005,TOT,M,S,2011,0.187
E06000005,0_4,F,C,2011,0
E06000005,5_9,F,C,2011,0
E06000005,10_14,F,C,2011,0
E06000005,15_19,F,C,2011,0
E06000005,20_24,F,C,2011,0
E06000005,25_29,F,C,2011,0
E06000005,30_34,F,C,2011,0
E06000005,35_39,F,C,2011,0
E06000005,40_44,F,C,2011,0
E06000005,45_49,F,C,2011,0
E06000005,50_54,F,C,2011,0
E06000005,55_59,F,C,2011,0
E06000005,60_64,F,C,2011,0
E06000005,65_69,F,C,2011,0
E06000005,70_74,F,C,2011,0
E06000005,75_79,F,C,2011,0
E06000005,80_84,F,C,2011,0
E06000005,85&,F,C,2011,0
E06000005,TOT,F,C,2011,0
E06000005,0_4,F,P,2011,0
E06000005,5_9,F,P,2011,0
E06000005,10_14,F,P,2011,0
E06000005,15_19,F,P,2011,0.143
E06000005,20_24,F,P,2011,0.735
E06000005,25_29,F,P,2011,0.696
E06000005,30_34,F,P,2011,0.829
E06000005,35_39,F,P,2011,0.851
E06000005,40_44,F,P,2011,0.884
E06000005,45_49,F,P,2011,0.898
E06000005,50_54,F,P,2011,0.937
E06000005,55_59,F,P,2011,0.926
E06000005,60_64,F,P,2011,0.922
E06000005,65_69,F,P,2011,0.976
E06000005,70_74,F,P,2011,0.985
E06000005,75_79,F,P,2011,0.981
E06000005,80_84,F,P,2011,1
E06000005,85&,F,P,2011,0.987
E06000005,TOT,F,P,2011,0.938
E06000005,0_4,F,S,2011,0
E06000005,5_9,F,S,2011,0
E06000005,10_14,F,S,2011,0
E06000005,15_19,F,S,2011,0.053
E06000005,20_24,F,S,2011,0.393
E06000005,25_29,F,S,2011,0.628
E06000005,30_34,F,S,2011,0.765
E06000005,35_39,F,S,2011,0.852
E06000005,40_44,F,S,2011,0.878
E06000005,45_49,F,S,2011,0.71
E06000005,50_54,F,S,2011,0.803
E06000005,55_59,F,S,2011,0.812
E06000005,60_64,F,S,2011,0.897
E06000005,65_69,F,S,2011,0.855
E06000005,70_74,F,S,2011,0.902
E06000005,75_79,F,S,2011,0.899
E06000005,80_84,F,S,2011,0.938
E06000005,85&,F,S,2011,0.949
E06000005,TOT,F,S,2011,0.235
E06000005,0_4,M,C,2012,0
E06000005,5_9,M,C,2012,0
E06000005,10_14,M,C,2012,0
E06000005,15_19,M,C,2012,0.63
E06000005,20_24,M,C,2012,0.876
E06000005,25_29,M,C,2012,0.887
E06000005,30_34,M,C,2012,0.986
E06000005,35_39,M,C,2012,0.995
E06000005,40_44,M,C,2012,1
E06000005,45_49,M,C,2012,1
E06000005,50_54,M,C,2012,1
E06000005,55_59,M,C,2012,1
E06000005,60_64,M,C,2012,1
E06000005,65_69,M,C,2012,1
E06000005,70_74,M,C,2012,1
E06000005,75_79,M,C,2012,1
E06000005,80_84,M,C,2012,1
E06000005,85&,M,C,2012,1
E06000005,TOT,M,C,2012,0.988
E06000005,0_4,M,P,2012,0
E06000005,5_9,M,P,2012,0
E06000005,10_14,M,P,2012,0
E06000005,15_19,M,P,2012,0.5
E06000005,20_24,M,P,2012,0.273
E06000005,25_29,M,P,2012,0.513
E06000005,30_34,M,P,2012,0.689
E06000005,35_39,M,P,2012,0.8
E06000005,40_44,M,P,2012,0.837
E06000005,45_49,M,P,2012,0.86
E06000005,50_54,M,P,2012,0.912
E06000005,55_59,M,P,2012,0.953
E06000005,60_64,M,P,2012,0.946
E06000005,65_69,M,P,2012,0.998
E06000005,70_74,M,P,2012,1
E06000005,75_79,M,P,2012,0.99
E06000005,80_84,M,P,2012,1
E06000005,85&,M,P,2012,0.992
E06000005,TOT,M,P,2012,0.917
E06000005,0_4,M,S,2012,0
E06000005,5_9,M,S,2012,0
E06000005,10_14,M,S,2012,0
E06000005,15_19,M,S,2012,0.017
E06000005,20_24,M,S,2012,0.098
E06000005,25_29,M,S,2012,0.379
E06000005,30_34,M,S,2012,0.637
E06000005,35_39,M,S,2012,0.632
E06000005,40_44,M,S,2012,0.683
E06000005,45_49,M,S,2012,0.75
E06000005,50_54,M,S,2012,0.713
E06000005,55_59,M,S,2012,0.815
E06000005,60_64,M,S,2012,0.817
E06000005,65_69,M,S,2012,0.87
E06000005,70_74,M,S,2012,0.878
E06000005,75_79,M,S,2012,0.871
E06000005,80_84,M,S,2012,0.962
E06000005,85&,M,S,2012,0.969
E06000005,TOT,M,S,2012,0.191
E06000005,0_4,F,C,2012,0
E06000005,5_9,F,C,2012,0
E06000005,10_14,F,C,2012,0
E06000005,15_19,F,C,2012,0
E06000005,20_24,F,C,2012,0
E06000005,25_29,F,C,2012,0
E06000005,30_34,F,C,2012,0
E06000005,35_39,F,C,2012,0
E06000005,40_44,F,C,2012,0
E06000005,45_49,F,C,2012,0
E06000005,50_54,F,C,2012,0
E06000005,55_59,F,C,2012,0
E06000005,60_64,F,C,2012,0
E06000005,65_69,F,C,2012,0
E06000005,70_74,F,C,2012,0
E06000005,75_79,F,C,2012,0
E06000005,80_84,F,C,2012,0
E06000005,85&,F,C,2012,0
E06000005,TOT,F,C,2012,0
E06000005,0_4,F,P,2012,0
E06000005,5_9,F,P,2012,0
E06000005,10_14,F,P,2012,0
E06000005,15_19,F,P,2012,0.143
E06000005,20_24,F,P,2012,0.745
E06000005,25_29,F,P,2012,0.699
E06000005,30_34,F,P,2012,0.827
E06000005,35_39,F,P,2012,0.848
E06000005,40_44,F,P,2012,0.884
E06000005,45_49,F,P,2012,0.897
E06000005,50_54,F,P,2012,0.938
E06000005,55_59,F,P,2012,0.926
E06000005,60_64,F,P,2012,0.923
E06000005,65_69,F,P,2012,0.979
E06000005,70_74,F,P,2012,0.988
E06000005,75_79,F,P,2012,0.982
E06000005,80_84,F,P,2012,1
E06000005,85&,F,P,2012,0.988
E06000005,TOT,F,P,2012,0.94
E06000005,0_4,F,S,2012,0
E06000005,5_9,F,S,2012,0
E06000005,10_14,F,S,2012,0
E06000005,15_19,F,S,2012,0.053
E06000005,20_24,F,S,2012,0.395
E06000005,25_29,F,S,2012,0.631
E06000005,30_34,F,S,2012,0.77
E06000005,35_39,F,S,2012,0.859
E06000005,40_44,F,S,2012,0.884
E06000005,45_49,F,S,2012,0.715
E06000005,50_54,F,S,2012,0.807
E06000005,55_59,F,S,2012,0.815
E06000005,60_64,F,S,2012,0.897
E06000005,65_69,F,S,2012,0.872
E06000005,70_74,F,S,2012,0.91
E06000005,75_79,F,S,2012,0.913
E06000005,80_84,F,S,2012,0.935
E06000005,85&,F,S,2012,0.949
E06000005,TOT,F,S,2012,0.239
E06000005,0_4,M,C,2013,0
E06000005,5_9,M,C,2013,0
E06000005,10_14,M,C,2013,0
E06000005,15_19,M,C,2013,0.622
E06000005,20_24,M,C,2013,0.874
E06000005,25_29,M,C,2013,0.884
E06000005,30_34,M,C,2013,0.989
E06000005,35_39,M,C,2013,0.996
E06000005,40_44,M,C,2013,1
E06000005,45_49,M,C,2013,1
E06000005,50_54,M,C,2013,1
E06000005,55_59,M,C,2013,1
E06000005,60_64,M,C,2013,1
E06000005,65_69,M,C,2013,1
E06000005,70_74,M,C,2013,1
E06000005,75_79,M,C,2013,1
E06000005,80_84,M,C,2013,1
E06000005,85&,M,C,2013,1
E06000005,TOT,M,C,2013,0.988
E06000005,0_4,M,P,2013,0
E06000005,5_9,M,P,2013,0
E06000005,10_14,M,P,2013,0
E06000005,15_19,M,P,2013,0.5
E06000005,20_24,M,P,2013,0.273
E06000005,25_29,M,P,2013,0.52
E06000005,30_34,M,P,2013,0.69
E06000005,35_39,M,P,2013,0.798
E06000005,40_44,M,P,2013,0.837
E06000005,45_49,M,P,2013,0.86
E06000005,50_54,M,P,2013,0.911
E06000005,55_59,M,P,2013,0.954
E06000005,60_64,M,P,2013,0.946
E06000005,65_69,M,P,2013,1
E06000005,70_74,M,P,2013,1
E06000005,75_79,M,P,2013,0.99
E06000005,80_84,M,P,2013,1
E06000005,85&,M,P,2013,0.992
E06000005,TOT,M,P,2013,0.92
E06000005,0_4,M,S,2013,0
E06000005,5_9,M,S,2013,0
E06000005,10_14,M,S,2013,0
E06000005,15_19,M,S,2013,0.017
E06000005,20_24,M,S,2013,0.098
E06000005,25_29,M,S,2013,0.38
E06000005,30_34,M,S,2013,0.641
E06000005,35_39,M,S,2013,0.636
E06000005,40_44,M,S,2013,0.689
E06000005,45_49,M,S,2013,0.755
E06000005,50_54,M,S,2013,0.716
E06000005,55_59,M,S,2013,0.822
E06000005,60_64,M,S,2013,0.817
E06000005,65_69,M,S,2013,0.87
E06000005,70_74,M,S,2013,0.874
E06000005,75_79,M,S,2013,0.872
E06000005,80_84,M,S,2013,0.963
E06000005,85&,M,S,2013,0.97
E06000005,TOT,M,S,2013,0.195
E06000005,0_4,F,C,2013,0
E06000005,5_9,F,C,2013,0
E06000005,10_14,F,C,2013,0
E06000005,15_19,F,C,2013,0
E06000005,20_24,F,C,2013,0
E06000005,25_29,F,C,2013,0
E06000005,30_34,F,C,2013,0
E06000005,35_39,F,C,2013,0
E06000005,40_44,F,C,2013,0
E06000005,45_49,F,C,2013,0
E06000005,50_54,F,C,2013,0
E06000005,55_59,F,C,2013,0
E06000005,60_64,F,C,2013,0
E06000005,65_69,F,C,2013,0
E06000005,70_74,F,C,2013,0
E06000005,75_79,F,C,2013,0
E06000005,80_84,F,C,2013,0
E06000005,85&,F,C,2013,0
E06000005,TOT,F,C,2013,0
E06000005,0_4,F,P,2013,0
E06000005,5_9,F,P,2013,0
E06000005,10_14,F,P,2013,0
E06000005,15_19,F,P,2013,0.167
E06000005,20_24,F,P,2013,0.756
E06000005,25_29,F,P,2013,0.703
E06000005,30_34,F,P,2013,0.829
E06000005,35_39,F,P,2013,0.848
E06000005,40_44,F,P,2013,0.883
E06000005,45_49,F,P,2013,0.897
E06000005,50_54,F,P,2013,0.94
E06000005,55_59,F,P,2013,0.928
E06000005,60_64,F,P,2013,0.923
E06000005,65_69,F,P,2013,0.98
E06000005,70_74,F,P,2013,0.99
E06000005,75_79,F,P,2013,0.985
E06000005,80_84,F,P,2013,1
E06000005,85&,F,P,2013,0.99
E06000005,TOT,F,P,2013,0.941
E06000005,0_4,F,S,2013,0
E06000005,5_9,F,S,2013,0
E06000005,10_14,F,S,2013,0
E06000005,15_19,F,S,2013,0.054
E06000005,20_24,F,S,2013,0.397
E06000005,25_29,F,S,2013,0.633
E06000005,30_34,F,S,2013,0.774
E06000005,35_39,F,S,2013,0.864
E06000005,40_44,F,S,2013,0.889
E06000005,45_49,F,S,2013,0.722
E06000005,50_54,F,S,2013,0.815
E06000005,55_59,F,S,2013,0.816
E06000005,60_64,F,S,2013,0.902
E06000005,65_69,F,S,2013,0.873
E06000005,70_74,F,S,2013,0.919
E06000005,75_79,F,S,2013,0.899
E06000005,80_84,F,S,2013,0.951
E06000005,85&,F,S,2013,0.948
E06000005,TOT,F,S,2013,0.244
E06000005,0_4,M,C,2014,0
E06000005,5_9,M,C,2014,0
E06000005,10_14,M,C,2014,0
E06000005,15_19,M,C,2014,0.619
E06000005,20_24,M,C,2014,0.871
E06000005,25_29,M,C,2014,0.88
E06000005,30_34,M,C,2014,0.991
E06000005,35_39,M,C,2014,0.997
E06000005,40_44,M,C,2014,1
E06000005,45_49,M,C,2014,1
E06000005,50_54,M,C,2014,1
E06000005,55_59,M,C,2014,1
E06000005,60_64,M,C,2014,1
E06000005,65_69,M,C,2014,1
E06000005,70_74,M,C,2014,1
E06000005,75_79,M,C,2014,1
E06000005,80_84,M,C,2014,1
E06000005,85&,M,C,2014,1
E06000005,TOT,M,C,2014,0.988
E06000005,0_4,M,P,2014,0
E06000005,5_9,M,P,2014,0
E06000005,10_14,M,P,2014,0
E06000005,15_19,M,P,2014,0.5
E06000005,20_24,M,P,2014,0.273
E06000005,25_29,M,P,2014,0.521
E06000005,30_34,M,P,2014,0.691
E06000005,35_39,M,P,2014,0.801
E06000005,40_44,M,P,2014,0.838
E06000005,45_49,M,P,2014,0.86
E06000005,50_54,M,P,2014,0.91
E06000005,55_59,M,P,2014,0.953
E06000005,60_64,M,P,2014,0.947
E06000005,65_69,M,P,2014,1
E06000005,70_74,M,P,2014,1
E06000005,75_79,M,P,2014,0.99
E06000005,80_84,M,P,2014,1
E06000005,85&,M,P,2014,0.995
E06000005,TOT,M,P,2014,0.922
E06000005,0_4,M,S,2014,0
E06000005,5_9,M,S,2014,0
E06000005,10_14,M,S,2014,0
E06000005,15_19,M,S,2014,0.017
E06000005,20_24,M,S,2014,0.098
E06000005,25_29,M,S,2014,0.381
E06000005,30_34,M,S,2014,0.645
E06000005,35_39,M,S,2014,0.639
E06000005,40_44,M,S,2014,0.695
E06000005,45_49,M,S,2014,0.76
E06000005,50_54,M,S,2014,0.718
E06000005,55_59,M,S,2014,0.825
E06000005,60_64,M,S,2014,0.822
E06000005,65_69,M,S,2014,0.866
E06000005,70_74,M,S,2014,0.877
E06000005,75_79,M,S,2014,0.875
E06000005,80_84,M,S,2014,0.964
E06000005,85&,M,S,2014,0.971
E06000005,TOT,M,S,2014,0.198
E06000005,0_4,F,C,2014,0
E06000005,5_9,F,C,2014,0
E06000005,10_14,F,C,2014,0
E06000005,15_19,F,C,2014,0
E06000005,20_24,F,C,2014,0
E06000005,25_29,F,C,2014,0
E06000005,30_34,F,C,2014,0
E06000005,35_39,F,C,2014,0
E06000005,40_44,F,C,2014,0
E06000005,45_49,F,C,2014,0
E06000005,50_54,F,C,2014,0
E06000005,55_59,F,C,2014,0
E06000005,60_64,F,C,2014,0
E06000005,65_69,F,C,2014,0
E06000005,70_74,F,C,2014,0
E06000005,75_79,F,C,2014,0
E06000005,80_84,F,C,2014,0
E06000005,85&,F,C,2014,0
E06000005,TOT,F,C,2014,0
E06000005,0_4,F,P,2014,0
E06000005,5_9,F,P,2014,0
E06000005,10_14,F,P,2014,0
E06000005,15_19,F,P,2014,0.167
E06000005,20_24,F,P,2014,0.727
E06000005,25_29,F,P,2014,0.698
E06000005,30_34,F,P,2014,0.822
E06000005,35_39,F,P,2014,0.844
E06000005,40_44,F,P,2014,0.883
E06000005,45_49,F,P,2014,0.895
E06000005,50_54,F,P,2014,0.94
E06000005,55_59,F,P,2014,0.929
E06000005,60_64,F,P,2014,0.924
E06000005,65_69,F,P,2014,0.982
E06000005,70_74,F,P,2014,0.99
E06000005,75_79,F,P,2014,0.985
E06000005,80_84,F,P,2014,1
E06000005,85&,F,P,2014,0.992
E06000005,TOT,F,P,2014,0.943
E06000005,0_4,F,S,2014,0
E06000005,5_9,F,S,2014,0
E06000005,10_14,F,S,2014,0
E06000005,15_19,F,S,2014,0.054
E06000005,20_24,F,S,2014,0.399
E06000005,25_29,F,S,2014,0.635
E06000005,30_34,F,S,2014,0.778
E06000005,35_39,F,S,2014,0.87
E06000005,40_44,F,S,2014,0.895
E06000005,45_49,F,S,2014,0.731
E06000005,50_54,F,S,2014,0.817
E06000005,55_59,F,S,2014,0.823
E06000005,60_64,F,S,2014,0.907
E06000005,65_69,F,S,2014,0.869
E06000005,70_74,F,S,2014,0.919
E06000005,75_79,F,S,2014,0.913
E06000005,80_84,F,S,2014,0.948
E06000005,85&,F,S,2014,0.948
E06000005,TOT,F,S,2014,0.249
E06000005,0_4,M,C,2015,0
E06000005,5_9,M,C,2015,0
E06000005,10_14,M,C,2015,0
E06000005,15_19,M,C,2015,0.61
E06000005,20_24,M,C,2015,0.868
E06000005,25_29,M,C,2015,0.877
E06000005,30_34,M,C,2015,0.993
E06000005,35_39,M,C,2015,0.997
E06000005,40_44,M,C,2015,1
E06000005,45_49,M,C,2015,1
E06000005,50_54,M,C,2015,1
E06000005,55_59,M,C,2015,1
E06000005,60_64,M,C,2015,1
E06000005,65_69,M,C,2015,1
E06000005,70_74,M,C,2015,1
E06000005,75_79,M,C,2015,1
E06000005,80_84,M,C,2015,1
E06000005,85&,M,C,2015,1
E06000005,TOT,M,C,2015,0.988
E06000005,0_4,M,P,2015,0
E06000005,5_9,M,P,2015,0
E06000005,10_14,M,P,2015,0
E06000005,15_19,M,P,2015,0.5
E06000005,20_24,M,P,2015,0.286
E06000005,25_29,M,P,2015,0.522
E06000005,30_34,M,P,2015,0.689
E06000005,35_39,M,P,2015,0.802
E06000005,40_44,M,P,2015,0.836
E06000005,45_49,M,P,2015,0.858
E06000005,50_54,M,P,2015,0.908
E06000005,55_59,M,P,2015,0.956
E06000005,60_64,M,P,2015,0.946
E06000005,65_69,M,P,2015,1
E06000005,70_74,M,P,2015,1
E06000005,75_79,M,P,2015,0.993
E06000005,80_84,M,P,2015,1
E06000005,85&,M,P,2015,0.995
E06000005,TOT,M,P,2015,0.924
E06000005,0_4,M,S,2015,0
E06000005,5_9,M,S,2015,0
E06000005,10_14,M,S,2015,0
E06000005,15_19,M,S,2015,0.017
E06000005,20_24,M,S,2015,0.098
E06000005,25_29,M,S,2015,0.382
E06000005,30_34,M,S,2015,0.65
E06000005,35_39,M,S,2015,0.643
E06000005,40_44,M,S,2015,0.701
E06000005,45_49,M,S,2015,0.766
E06000005,50_54,M,S,2015,0.72
E06000005,55_59,M,S,2015,0.827
E06000005,60_64,M,S,2015,0.82
E06000005,65_69,M,S,2015,0.869
E06000005,70_74,M,S,2015,0.871
E06000005,75_79,M,S,2015,0.876
E06000005,80_84,M,S,2015,0.966
E06000005,85&,M,S,2015,0.972
E06000005,TOT,M,S,2015,0.202
E06000005,0_4,F,C,2015,0
E06000005,5_9,F,C,2015,0
E06000005,10_14,F,C,2015,0
E06000005,15_19,F,C,2015,0
E06000005,20_24,F,C,2015,0
E06000005,25_29,F,C,2015,0
E06000005,30_34,F,C,2015,0
E06000005,35_39,F,C,2015,0
E06000005,40_44,F,C,2015,0
E06000005,45_49,F,C,2015,0
E06000005,50_54,F,C,2015,0
E06000005,55_59,F,C,2015,0
E06000005,60_64,F,C,2015,0
E06000005,65_69,F,C,2015,0
E06000005,70_74,F,C,2015,0
E06000005,75_79,F,C,2015,0
E06000005,80_84,F,C,2015,0
E06000005,85&,F,C,2015,0
E06000005,TOT,F,C,2015,0
E06000005,0_4,F,P,2015,0
E06000005,5_9,F,P,2015,0
E06000005,10_14,F,P,2015,0
E06000005,15_19,F,P,2015,0.167
E06000005,20_24,F,P,2015,0.738
E06000005,25_29,F,P,2015,0.697
E06000005,30_34,F,P,2015,0.819
E06000005,35_39,F,P,2015,0.841
E06000005,40_44,F,P,2015,0.883
E06000005,45_49,F,P,2015,0.895
E06000005,50_54,F,P,2015,0.941
E06000005,55_59,F,P,2015,0.929
E06000005,60_64,F,P,2015,0.924
E06000005,65_69,F,P,2015,0.983
E06000005,70_74,F,P,2015,0.992
E06000005,75_79,F,P,2015,0.987
E06000005,80_84,F,P,2015,1
E06000005,85&,F,P,2015,0.994
E06000005,TOT,F,P,2015,0.945
E06000005,0_4,F,S,2015,0
E06000005,5_9,F,S,2015,0
E06000005,10_14,F,S,2015,0
E06000005,15_19,F,S,2015,0.054
E06000005,20_24,F,S,2015,0.402
E06000005,25_29,F,S,2015,0.636
E06000005,30_34,F,S,2015,0.782
E06000005,35_39,F,S,2015,0.875
E06000005,40_44,F,S,2015,0.898
E06000005,45_49,F,S,2015,0.736
E06000005,50_54,F,S,2015,0.822
E06000005,55_59,F,S,2015,0.83
E06000005,60_64,F,S,2015,0.904
E06000005,65_69,F,S,2015,0.876
E06000005,70_74,F,S,2015,0.922
E06000005,75_79,F,S,2015,0.91
E06000005,80_84,F,S,2015,0.966
E06000005,85&,F,S,2015,0.966
E06000005,TOT,F,S,2015,0.253
E06000005,0_4,M,C,2016,0
E06000005,5_9,M,C,2016,0
E06000005,10_14,M,C,2016,0
E06000005,15_19,M,C,2016,0.6
E06000005,20_24,M,C,2016,0.866
E06000005,25_29,M,C,2016,0.874
E06000005,30_34,M,C,2016,0.994
E06000005,35_39,M,C,2016,0.998
E06000005,40_44,M,C,2016,1
E06000005,45_49,M,C,2016,1
E06000005,50_54,M,C,2016,1
E06000005,55_59,M,C,2016,1
E06000005,60_64,M,C,2016,1
E06000005,65_69,M,C,2016,1
E06000005,70_74,M,C,2016,1
E06000005,75_79,M,C,2016,1
E06000005,80_84,M,C,2016,1
E06000005,85&,M,C,2016,1
E06000005,TOT,M,C,2016,0.987
E06000005,0_4,M,P,2016,0
E06000005,5_9,M,P,2016,0
E06000005,10_14,M,P,2016,0
E06000005,15_19,M,P,2016,0.5
E06000005,20_24,M,P,2016,0.238
E06000005,25_29,M,P,2016,0.514
E06000005,30_34,M,P,2016,0.688
E06000005,35_39,M,P,2016,0.802
E06000005,40_44,M,P,2016,0.838
E06000005,45_49,M,P,2016,0.858
E06000005,50_54,M,P,2016,0.908
E06000005,55_59,M,P,2016,0.956
E06000005,60_64,M,P,2016,0.947
E06000005,65_69,M,P,2016,1
E06000005,70_74,M,P,2016,1
E06000005,75_79,M,P,2016,0.993
E06000005,80_84,M,P,2016,1
E06000005,85&,M,P,2016,0.998
E06000005,TOT,M,P,2016,0.926
E06000005,0_4,M,S,2016,0
E06000005,5_9,M,S,2016,0
E06000005,10_14,M,S,2016,0
E06000005,15_19,M,S,2016,0.017
E06000005,20_24,M,S,2016,0.098
E06000005,25_29,M,S,2016,0.383
E06000005,30_34,M,S,2016,0.653
E06000005,35_39,M,S,2016,0.647
E06000005,40_44,M,S,2016,0.706
E06000005,45_49,M,S,2016,0.77
E06000005,50_54,M,S,2016,0.724
E06000005,55_59,M,S,2016,0.83
E06000005,60_64,M,S,2016,0.82
E06000005,65_69,M,S,2016,0.872
E06000005,70_74,M,S,2016,0.872
E06000005,75_79,M,S,2016,0.878
E06000005,80_84,M,S,2016,0.966
E06000005,85&,M,S,2016,0.973
E06000005,TOT,M,S,2016,0.207
E06000005,0_4,F,C,2016,0
E06000005,5_9,F,C,2016,0
E06000005,10_14,F,C,2016,0
E06000005,15_19,F,C,2016,0
E06000005,20_24,F,C,2016,0
E06000005,25_29,F,C,2016,0
E06000005,30_34,F,C,2016,0
E06000005,35_39,F,C,2016,0
E06000005,40_44,F,C,2016,0
E06000005,45_49,F,C,2016,0
E06000005,50_54,F,C,2016,0
E06000005,55_59,F,C,2016,0
E06000005,60_64,F,C,2016,0
E06000005,65_69,F,C,2016,0
E06000005,70_74,F,C,2016,0
E06000005,75_79,F,C,2016,0
E06000005,80_84,F,C,2016,0
E06000005,85&,F,C,2016,0
E06000005,TOT,F,C,2016,0
E06000005,0_4,F,P,2016,0
E06000005,5_9,F,P,2016,0
E06000005,10_14,F,P,2016,0
E06000005,15_19,F,P,2016,0.167
E06000005,20_24,F,P,2016,0.725
E06000005,25_29,F,P,2016,0.698
E06000005,30_34,F,P,2016,0.819
E06000005,35_39,F,P,2016,0.839
E06000005,40_44,F,P,2016,0.883
E06000005,45_49,F,P,2016,0.894
E06000005,50_54,F,P,2016,0.943
E06000005,55_59,F,P,2016,0.929
E06000005,60_64,F,P,2016,0.924
E06000005,65_69,F,P,2016,0.985
E06000005,70_74,F,P,2016,0.993
E06000005,75_79,F,P,2016,0.987
E06000005,80_84,F,P,2016,1
E06000005,85&,F,P,2016,0.996
E06000005,TOT,F,P,2016,0.946
E06000005,0_4,F,S,2016,0
E06000005,5_9,F,S,2016,0
E06000005,10_14,F,S,2016,0
E06000005,15_19,F,S,2016,0.055
E06000005,20_24,F,S,2016,0.404
E06000005,25_29,F,S,2016,0.637
E06000005,30_34,F,S,2016,0.786
E06000005,35_39,F,S,2016,0.88
E06000005,40_44,F,S,2016,0.903
E06000005,45_49,F,S,2016,0.744
E06000005,50_54,F,S,2016,0.826
E06000005,55_59,F,S,2016,0.832
E06000005,60_64,F,S,2016,0.91
E06000005,65_69,F,S,2016,0.875
E06000005,70_74,F,S,2016,0.927
E06000005,75_79,F,S,2016,0.908
E06000005,80_84,F,S,2016,0.949
E06000005,85&,F,S,2016,0.965
E06000005,TOT,F,S,2016,0.258
E06000005,0_4,M,C,2017,0
E06000005,5_9,M,C,2017,0
E06000005,10_14,M,C,2017,0
E06000005,15_19,M,C,2017,0.6
E06000005,20_24,M,C,2017,0.863
E06000005,25_29,M,C,2017,0.87
E06000005,30_34,M,C,2017,0.995
E06000005,35_39,M,C,2017,0.998
E06000005,40_44,M,C,2017,1
E06000005,45_49,M,C,2017,1
E06000005,50_54,M,C,2017,1
E06000005,55_59,M,C,2017,1
E06000005,60_64,M,C,2017,1
E06000005,65_69,M,C,2017,1
E06000005,70_74,M,C,2017,1
E06000005,75_79,M,C,2017,1
E06000005,80_84,M,C,2017,1
E06000005,85&,M,C,2017,1
E06000005,TOT,M,C,2017,0.987
E06000005,0_4,M,P,2017,0
E06000005,5_9,M,P,2017,0
E06000005,10_14,M,P,2017,0
E06000005,15_19,M,P,2017,0
E06000005,20_24,M,P,2017,0.25
E06000005,25_29,M,P,2017,0.514
E06000005,30_34,M,P,2017,0.688
E06000005,35_39,M,P,2017,0.805
E06000005,40_44,M,P,2017,0.839
E06000005,45_49,M,P,2017,0.858
E06000005,50_54,M,P,2017,0.907
E06000005,55_59,M,P,2017,0.956
E06000005,60_64,M,P,2017,0.946
E06000005,65_69,M,P,2017,1
E06000005,70_74,M,P,2017,1
E06000005,75_79,M,P,2017,0.993
E06000005,80_84,M,P,2017,1
E06000005,85&,M,P,2017,0.998
E06000005,TOT,M,P,2017,0.929
E06000005,0_4,M,S,2017,0
E06000005,5_9,M,S,2017,0
E06000005,10_14,M,S,2017,0
E06000005,15_19,M,S,2017,0.017
E06000005,20_24,M,S,2017,0.097
E06000005,25_29,M,S,2017,0.384
E06000005,30_34,M,S,2017,0.658
E06000005,35_39,M,S,2017,0.65
